Country,Latitude,Longitude
Afghanistan,33.93911,67.709953
Albania,41.153332,20.168331
Algeria,28.033886,1.659626
American Samoa,-14.270972,-170.132217
Andorra,42.546245,1.601554
Angola,-11.202692,17.873887
Anguilla,18.220554,-63.068615
Argentina,-38.416097,-63.616672
Armenia,40.069099,45.038189
Aruba,12.52111,-69.968338
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
Bahamas,25.03428,-77.39628
Bahrain,25.930414,50.637772
Bangladesh,23.684994,90.356331
Barbados,13.193887,-59.543198
Belarus,53.709807,27.953389
Belgium,50.503887,4.469936
Belize,17.189877,-88.49765
Benin,9.30769,2.315834
Bermuda,32.321384,-64.75737
Bhutan,27.514162,90.433601
Bolivia,-16.290154,-63.588653
Bosnia and Herzegovina,43.915886,17.679076
Botswana,-22.328474,24.684866
Bouvet Island,-54.423199,3.413194
Brazil,-14.235004,-51.92528
Brunei,4.535277,114.727669
Bulgaria,42.733883,25.48583
Burkina Faso,12.238333,-1.561593
Burundi,-3.373056,29.918886
Cambodia,12.565679,104.990963
Cameroon,7.369722,12.354722
Canada,56.130366,-106.346771
Cape Verde,16.002082,-24.013197
Central African Republic,6.611111,20.939444
Chad,15.454166,18.732207
Chile,-35.675147,-71.542969
China,35.86166,104.195397
Christmas Island,-10.447525,105.690449
Colombia,4.570868,-74.297333
Comoros,-11.875001,43.872219
Congo [DRC],-4.038333,21.758664
Congo [Republic],-0.228021,15.827659
Cook Islands,-21.236736,-159.777671
Egypt,30.0444,31.2357
Palestine,31.7683,35.2137
saudi arabia,21.3891,39.8579
